"","species","dist_mo_scale","dist_mo","dist_wk_scale","dist_wk","ws_wk","ws_mo","tw_wk","tw_mo","mass_scale","mass"
"1","WALB",-0.359460821468537,1787.68499582565,1.31658868242813,444.173810897396,7.133409,6.213046,0.174182763222926,2.92646792175879,0.525828746707597,10.8259770264563
"2","WALB",-2.18132976386015,20.0960922891328,-1.20586537870693,16.6620565421805,7.59164,7.4588555,1.77791503241471,1.82860412783787,-0.173853467592516,10.170750584509
"3","WALB",0.599326439816189,2717.90653068222,-1.25159878241038,8.91104614673175,6.902036,8.209634,2.74536140481077,2.95948806465818,0.226184615837227,10.5453714119246
"4","WALB",0.161847950283508,2293.46210131576,0.545176889046064,313.433031828194,6.733868,6.1171,1.20138835848997,2.19773259727545,0.661053703515558,10.9526101829106
"5","WALB",0.342625041281362,2468.85319154531,-0.71394775764988,100.033471870043,7.547548,7.264166,-0.0307484646861811,2.61332617265471,0.464866929377959,10.7688885456472
"6","WALB",-0.367511828159602,1779.87385762668,1.4883784150242,473.289159753071,5.768801,6.231211,-0.730598034925478,0.688102724540486,-1.27784970254094,9.13689905853867
"7","WALB",0.719484470212654,2834.48462049848,-0.362780562021266,159.550156906374,7.980159,7.338866,1.22240321756957,3.58773017009202,1.35637240349911,11.6037503555465
"8","WALB",-0.172841016612817,1968.74472441957,-0.300586410176095,170.090975617657,7.705685,7.480804,0.493153173370001,1.33725699209224,1.46482654516808,11.705313636573
"9","WALB",-0.637272083870913,1518.15073171152,-1.06722988976317,40.1583421663355,9.454286,9.25178,-0.373005942154951,-0.373005942154951,0.0495870118478386,10.3799943059278
"10","WALB",0.158268571695808,2289.98936531046,0.263829380309693,265.749560047055,5.87258,6.002485,2.02457935353854,2.89595378807694,-1.36033583251557,9.05965385729064
"11","WALB",2.09066337136008,4164.81116267552,1.33817502013052,447.832316811713,5.661893,7.676104,0.505460709093854,3.45010889752323,-1.53505230220239,8.89603836379549
"12","WALB",-0.353800330677576,1793.17684020472,-0.0501396062108822,212.537319511684,7.918861,7.7008,0.463621472009993,0.413120321388343,-0.401628651101941,9.95744757350698
"13","BBA",-0.676425803610635,5175.11285377803,-0.272793006876713,3046.21451434155,7.51653623807469,6.82885260735601,1.89571859970916,4.09708592623002,-1.30310036504251,2.84677714891187
